Longitude,Latitude,Date,Time
-8.563618035841888,37.138535244294474,14-03-2025,00:07:54
-8.563566446781277,37.13853455184748,14-03-2025,00:08:03
-8.563550602457138,37.138527860091656,14-03-2025,00:09:08
-8.563544591378253,37.13852872142775,14-03-2025,00:09:13
-8.563536719167244,37.13852721241951,14-03-2025,00:09:23
-8.563541212786527,37.13852531737024,14-03-2025,00:09:33
-8.563566446781277,37.13853455184748,14-03-2025,00:09:43
-8.535743619832262,37.14064997671669,14-03-2025,19:33:35
-8.535750375182342,37.140637634399475,14-03-2025,19:33:45
-8.535750476569675,37.14063962537868,14-03-2025,19:33:55
-8.535737112166679,37.1406382233014,14-03-2025,19:52:33
-8.535737112526721,37.14063822337896,14-03-2025,19:52:35
-8.535735600572492,37.14065234339565,14-03-2025,20:05:42
-8.535731504243131,37.14064931340829,14-03-2025,20:05:42
-8.535730384115533,37.14064501018882,14-03-2025,20:05:45
-8.535731310386977,37.140641915215774,14-03-2025,20:05:55
-8.535744937320485,37.14065354421887,14-03-2025,20:24:24
-8.535743347394156,37.14065829036113,14-03-2025,20:24:47
-8.535738528690322,37.140665686837856,14-03-2025,20:24:54
-8.535740920088276,37.14065936871685,14-03-2025,20:25:04
-8.535741839243153,37.14065839564564,14-03-2025,20:25:14
-8.535741935464715,37.14065808168593,14-03-2025,20:25:24
-8.535741779409861,37.14066003301623,14-03-2025,20:25:34
-8.535741779409959,37.14066003301634,14-03-2025,20:25:44
-8.535741409694442,37.14066074672574,14-03-2025,20:25:54
-8.535741238642474,37.1406606930966,14-03-2025,20:26:04
-8.53574041713308,37.14066043553254,14-03-2025,20:26:14
-8.535739595735578,37.14066017800356,14-03-2025,20:26:24
-8.535738774424223,37.14065992050159,14-03-2025,20:26:34
-8.53573795322676,37.14065966303533,14-03-2025,20:26:44
-8.535737132143721,37.14065940560494,14-03-2025,20:26:54
-8.53573872764772,37.14063444297841,14-03-2025,21:12:33
-8.535739144837741,37.140634103896524,14-03-2025,21:12:43
-8.535739031012731,37.14063339048959,14-03-2025,21:12:53
-8.53574001156638,37.14063227016688,14-03-2025,21:13:03
-8.535740276002302,37.14063327812682,14-03-2025,21:13:13
-8.53574274199726,37.14062988123624,14-03-2025,21:13:23
-8.535743253794992,37.14063028000288,14-03-2025,21:13:33
-8.53574022974182,37.14063662367492,14-03-2025,21:13:43
-8.535742104023093,37.140636443985784,14-03-2025,21:13:53
-8.5357421758036,37.14063702256131,14-03-2025,21:14:03
-8.535742856211622,37.14063771472506,14-03-2025,21:14:13
-8.535740185907278,37.14064879656947,14-03-2025,21:14:23
-8.53574071471226,37.1406477884907,14-03-2025,21:14:33
-8.535735679468813,37.140654328327685,14-03-2025,21:14:43
-8.535735333175692,37.1406577873359,14-03-2025,21:14:53
-8.53573719213174,37.14065618488235,14-03-2025,21:15:03
-8.535737309478156,37.14064627406728,14-03-2025,21:15:13
-8.535736062143522,37.14065072587048,14-03-2025,21:15:23
