Latitude,Longitude,Data,Hora
37.13140175741056,-8.539237605808408,2025-03-17,00:00:04
37.13133620417323,-8.539148081673485,2025-03-17,08:55:24
37.13121926568267,-8.53917265655344,2025-03-17,08:55:28
37.131278648362226,-8.539207712108926,2025-03-17,08:55:38
37.131272048206995,-8.539215500186383,2025-03-17,08:55:48
37.13127898150875,-8.539211726658904,2025-03-17,08:55:58
37.13126200865077,-8.539233770979171,2025-03-17,08:56:08
37.13128002187235,-8.539194391912417,2025-03-17,08:56:18
37.13127718741287,-8.539199996468055,2025-03-17,08:56:28
37.13126765417187,-8.53920856731526,2025-03-17,08:56:38
37.131285185841875,-8.53921218014644,2025-03-17,08:56:48
37.13126374894747,-8.539237679023852,2025-03-17,08:56:58
37.131209476810284,-8.53927286150262,2025-03-17,08:57:08
37.131301516759976,-8.539210609848853,2025-03-17,08:57:18
37.13127964064651,-8.539211470608652,2025-03-17,08:57:28
37.13144231725647,-8.539245146890309,2025-03-17,08:57:38
37.131163063715974,-8.53908651981318,2025-03-17,08:57:48
37.13115116066342,-8.539079956440316,2025-03-17,08:57:58
37.13115637282218,-8.53908279942332,2025-03-17,08:58:08
37.13115632599247,-8.539082773877826,2025-03-17,08:58:18
37.13115626198009,-8.539082738945257,2025-03-17,08:58:28
37.13115625008423,-8.5390827324535,2025-03-17,08:58:38
37.13115624355916,-8.53908272889266,2025-03-17,08:58:48
37.131156242306155,-8.53908272820887,2025-03-17,08:58:58
37.13143892943637,-8.539310252655731,2025-03-17,08:59:08
37.13143792642905,-8.539276468871579,2025-03-17,08:59:18
37.131328665656156,-8.53914111106413,2025-03-17,08:59:28
37.13131748650667,-8.539139060313666,2025-03-17,08:59:38
37.13118922414673,-8.539225323996764,2025-03-17,08:59:48
37.131062345822116,-8.539339607249163,2025-03-17,08:59:58
37.13111414577545,-8.539078356706108,2025-03-17,09:00:08
37.13111414577545,-8.539078356706108,2025-03-17,09:00:18
37.130889892578125,-8.538950532682742,2025-03-17,09:00:28
37.13090011387796,-8.538950532682742,2025-03-17,09:00:28
37.13090011387796,-8.538950532682742,2025-03-17,09:00:28
37.1309072704285,-8.5389842754913,2025-03-17,09:00:38
37.13089245122006,-8.539013474597356,2025-03-17,09:00:48
37.13090301685904,-8.539052796463434,2025-03-17,09:00:58
37.130960089293566,-8.539088154251763,2025-03-17,09:01:02
37.13105253849779,-8.539146046061623,2025-03-17,09:01:08
37.13105253849779,-8.539146046061623,2025-03-17,09:01:08
37.13114796347586,-8.539160495664655,2025-03-17,09:01:17
37.131161873379284,-8.539165640072138,2025-03-17,09:01:18
37.13123946004582,-8.539210390996784,2025-03-17,09:01:23
37.131286319096866,-8.53920850941158,2025-03-17,09:01:28
37.131314464544595,-8.539164317674263,2025-03-17,09:01:38
37.131315857848755,-8.539089895260998,2025-03-17,09:01:40
37.131204428861075,-8.539021067154165,2025-03-17,09:01:46
37.1311658689712,-8.538992241822491,2025-03-17,09:01:48
37.131117200895766,-8.538987271501425,2025-03-17,09:01:54
37.131119048529065,-8.538992960126894,2025-03-17,09:01:58
37.131158821319495,-8.538981964819637,2025-03-17,09:02:08
37.13116565257055,-8.539070980631314,2025-03-17,09:02:22
37.131420751298016,-8.539277317503094,2025-03-17,09:02:28
37.131420751298016,-8.539277317503094,2025-03-17,09:02:28
37.13139339812207,-8.539233242444126,2025-03-17,09:02:40
37.131406733410444,-8.539253707618071,2025-03-17,09:02:48
37.131406733410444,-8.539253707618071,2025-03-17,09:02:58
37.13132803025959,-8.539162731114567,2025-03-17,09:03:08
37.131222202118764,-8.539251520804427,2025-03-17,09:03:18
37.13133755093229,-8.539243282027893,2025-03-17,09:03:28
37.131373005143466,-8.539203645603932,2025-03-17,09:03:38
37.13143890632266,-8.53925429574385,2025-03-17,09:03:48
37.131416148911725,-8.539218127607796,2025-03-17,09:03:58
37.13132157082865,-8.539284188983165,2025-03-17,09:04:08
37.131220880349304,-8.539240191832876,2025-03-17,09:04:18
37.13118058069152,-8.539243662620265,2025-03-17,09:04:28
37.13145294856181,-8.539286597737352,2025-03-17,09:04:36
37.13145294856181,-8.539286597737352,2025-03-17,09:04:36
37.13145455666313,-8.53931957634898,2025-03-17,09:04:38
37.131524102139004,-8.539355229368686,2025-03-17,09:04:48
37.131528941924174,-8.5393656998878,2025-03-17,09:04:57
37.131528941924174,-8.5393656998878,2025-03-17,09:04:58
37.13148117496946,-8.539280540236053,2025-03-17,09:05:08
